CaseNo,type,slope,class armour,B,Rc,cost,CO2,install_duration,img
1,CRMR,18.4,11.67 m³,5.0,10.339,234556.4,0.0411,0.27646,CRMR.1.png
103,CRMR,33.7,17.08 m³,5.0,11.148,127995.47,0.0384,0.17916,CRMR.81c.png
104,CRMR,33.7,17.08 m³,6.053,11.148,137204.11,0.0282,0.16301,CRMR.82a.png
105,CRMR,33.7,17.08 m³,6.053,11.148,135562.37,0.0304,0.14264000000000002,CRMR.82b.png
106,CRMR,33.7,17.08 m³,6.053,11.148,130650.75,0.039,0.18159,CRMR.82c.png
107,CRMR,33.7,17.08 m³,7.105,11.148,139735.5,0.0287,0.16624,CRMR.83a.png
108,CRMR,33.7,17.08 m³,7.105,11.148,138236.29,0.0309,0.14354,CRMR.83b.png
109,CRMR,33.7,17.08 m³,7.105,11.148,133341.81,0.0395,0.18333,CRMR.83c.png
102,CRMR,33.7,17.08 m³,5.0,11.148,132924.25,0.0299,0.14104,CRMR.81b.png
110,CRMR,33.7,17.08 m³,8.158,10.682,139422.34,0.0288,0.16592,CRMR.84a.png
112,CRMR,33.7,17.08 m³,8.158,10.682,133450.31,0.0396,0.18255,CRMR.84c.png
113,CRMR,33.7,17.08 m³,9.211,10.34,139305.95,0.029,0.1659,CRMR.85a.png
114,CRMR,33.7,17.08 m³,9.211,10.34,138263.43,0.0312,0.14245,CRMR.85b.png
115,CRMR,33.7,17.08 m³,9.211,10.34,133474.42,0.0398,0.18284,CRMR.85c.png
116,CRMR,33.7,17.08 m³,10.263,9.994,139644.63,0.0291,0.16607,CRMR.86a.png
117,CRMR,33.7,17.08 m³,10.263,9.994,138583.53,0.0315,0.14268,CRMR.86b.png
118,CRMR,33.7,17.08 m³,10.263,9.994,133842.13,0.04,0.18346,CRMR.86c.png
111,CRMR,33.7,17.08 m³,8.158,10.682,138286.63,0.031,0.14254,CRMR.84b.png
119,CRMR,33.7,17.08 m³,11.316,9.645,140122.33,0.0293,0.16696,CRMR.87a.png
101,CRMR,33.7,17.08 m³,5.0,11.148,134672.7,0.0278,0.15978,CRMR.81a.png
99,CRMR,30.3,17.08 m³,25.0,4.287,144516.16999999998,0.0357,0.16525,CRMR.80b.png
83,CRMR,30.3,17.08 m³,19.737,6.2010000000000005,148141.13999999998,0.0325,0.18409,CRMR.75a.png
84,CRMR,30.3,17.08 m³,19.737,6.2010000000000005,146717.47,0.035,0.16513,CRMR.75b.png
85,CRMR,30.3,17.08 m³,19.737,6.2010000000000005,142306.05,0.0437,0.21222,CRMR.75c.png
86,CRMR,30.3,17.08 m³,20.789,5.834,147920.37,0.0326,0.18334,CRMR.76a.png
87,CRMR,30.3,17.08 m³,20.789,5.834,146759.3,0.0352,0.16596,CRMR.76b.png
88,CRMR,30.3,17.08 m³,20.789,5.834,142400.63999999998,0.0438,0.21336,CRMR.76c.png
89,CRMR,30.3,17.08 m³,21.842,5.46,147800.46000000002,0.0327,0.18425,CRMR.77a.png
100,CRMR,30.3,17.08 m³,25.0,4.287,140376.2,0.0442,0.21376,CRMR.80c.png
90,CRMR,30.3,17.08 m³,21.842,5.46,146741.59,0.0353,0.16675,CRMR.77b.png
92,CRMR,30.3,17.08 m³,22.895,5.078,146873.93,0.0329,0.18404,CRMR.78a.png
93,CRMR,30.3,17.08 m³,22.895,5.078,145637.21,0.0355,0.16499,CRMR.78b.png
94,CRMR,30.3,17.08 m³,22.895,5.078,141386.16999999998,0.044,0.21297,CRMR.78c.png
95,CRMR,30.3,17.08 m³,23.947,4.687,146455.55,0.033,0.18314,CRMR.79a.png
96,CRMR,30.3,17.08 m³,23.947,4.687,145485.62,0.0356,0.16568,CRMR.79b.png
97,CRMR,30.3,17.08 m³,23.947,4.687,141289.62,0.0441,0.21393,CRMR.79c.png
98,CRMR,30.3,17.08 m³,25.0,4.287,145379.21000000002,0.0331,0.18282,CRMR.80a.png
91,CRMR,30.3,17.08 m³,21.842,5.46,142436.37,0.0439,0.21445,CRMR.77c.png
82,CRMR,30.3,17.08 m³,18.684,6.562,143178.94,0.0435,0.21353000000000005,CRMR.74c.png
120,CRMR,33.7,17.08 m³,11.316,9.645,139155.53,0.0317,0.1435,CRMR.87b.png
122,CRMR,33.7,17.08 m³,12.368,9.291,139885.5,0.0295,0.16685,CRMR.88a.png
143,CRMR,33.7,17.08 m³,19.737,6.686,139519.63,0.0307,0.17357999999999998,CRMR.95a.png
144,CRMR,33.7,17.08 m³,19.737,6.686,138565.72,0.0331,0.15719,CRMR.95b.png
145,CRMR,33.7,17.08 m³,19.737,6.686,134270.05,0.0415,0.20114,CRMR.95c.png
146,CRMR,33.7,17.08 m³,20.789,6.291,138867.12,0.0308,0.17362,CRMR.96a.png
147,CRMR,33.7,17.08 m³,20.789,6.291,138012.86,0.0333,0.15712,CRMR.96b.png
148,CRMR,33.7,17.08 m³,20.789,6.291,133769.2,0.0417,0.20139,CRMR.96c.png
149,CRMR,33.7,17.08 m³,21.842,5.8870000000000005,138678.47,0.031,0.17304,CRMR.97a.png
142,CRMR,33.7,17.08 m³,18.684,7.075,134040.85,0.0414,0.19988,CRMR.94c.png
150,CRMR,33.7,17.08 m³,21.842,5.8870000000000005,137816.25,0.0334,0.15666,CRMR.97b.png
152,CRMR,33.7,17.08 m³,22.895,5.475,138569.46,0.0311,0.17396,CRMR.98a.png
153,CRMR,33.7,17.08 m³,22.895,5.475,137809.44,0.0336,0.15746,CRMR.98b.png
154,CRMR,33.7,17.08 m³,22.895,5.475,133671.9,0.0419,0.20233,CRMR.98c.png
155,CRMR,33.7,17.08 m³,23.947,5.0539999999999985,137714.34,0.0312,0.17385,CRMR.99a.png
156,CRMR,33.7,17.08 m³,23.947,5.0539999999999985,136802.38999999998,0.0337,0.15593,CRMR.99b.png
157,CRMR,33.7,17.08 m³,23.947,5.0539999999999985,132719.11,0.042,0.20108,CRMR.99c.png
158,CRMR,33.7,17.08 m³,25.0,4.622,137305.54,0.0313,0.17311,CRMR.100a.png
151,CRMR,33.7,17.08 m³,21.842,5.8870000000000005,133625.28,0.0418,0.20123,CRMR.97c.png
121,CRMR,33.7,17.08 m³,11.316,9.645,134462.08,0.0402,0.18465,CRMR.87c.png
141,CRMR,33.7,17.08 m³,18.684,7.075,138387.91,0.033,0.15625,CRMR.94b.png
139,CRMR,33.7,17.08 m³,17.632,7.457999999999998,134686.78,0.0412,0.20084,CRMR.93c.png
123,CRMR,33.7,17.08 m³,12.368,9.291,139013.63,0.0319,0.14332,CRMR.88b.png
124,CRMR,33.7,17.08 m³,12.368,9.291,134368.45,0.0404,0.18484,CRMR.88c.png
125,CRMR,33.7,17.08 m³,13.421,8.934,140132.33000000002,0.0297,0.16613,CRMR.89a.png
126,CRMR,33.7,17.08 m³,13.421,8.934,139175.62,0.032,0.14415999999999998,CRMR.89b.png
127,CRMR,33.7,17.08 m³,13.421,8.934,134579.08000000002,0.0406,0.18604,CRMR.89c.png
128,CRMR,33.7,17.08 m³,14.474,8.572000000000001,140481.79,0.0299,0.16692,CRMR.90a.png
129,CRMR,33.7,17.08 m³,14.474,8.572000000000001,139621.35,0.0322,0.14488,CRMR.90b.png
140,CRMR,33.7,17.08 m³,18.684,7.075,139587.19,0.0305,0.17406,CRMR.94a.png
130,CRMR,33.7,17.08 m³,14.474,8.572000000000001,134470.12,0.0407,0.19891,CRMR.90c.png
132,CRMR,33.7,17.08 m³,15.526,8.206,139021.48,0.0324,0.14468,CRMR.91b.png
133,CRMR,33.7,17.08 m³,15.526,8.206,133970.36000000002,0.0409,0.19808,CRMR.91c.png
134,CRMR,33.7,17.08 m³,16.579,7.834,140014.0,0.0302,0.17095,CRMR.92a.png
135,CRMR,33.7,17.08 m³,16.579,7.834,139375.03999999998,0.0326,0.14533,CRMR.92b.png
136,CRMR,33.7,17.08 m³,16.579,7.834,134352.88,0.0411,0.19948,CRMR.92c.png
137,CRMR,33.7,17.08 m³,17.632,7.457999999999998,140140.03,0.0304,0.17357999999999998,CRMR.93a.png
138,CRMR,33.7,17.08 m³,17.632,7.457999999999998,139679.49,0.0328,0.14594,CRMR.93b.png
131,CRMR,33.7,17.08 m³,15.526,8.206,139977.61000000002,0.03,0.17,CRMR.91a.png
81,CRMR,30.3,17.08 m³,18.684,6.562,147642.46,0.0349,0.16676,CRMR.74b.png
80,CRMR,30.3,17.08 m³,18.684,6.562,148884.55,0.0323,0.18416,CRMR.74a.png
79,CRMR,30.3,17.08 m³,17.632,6.917000000000002,142977.38,0.0434,0.21229,CRMR.73c.png
22,CRMR,22.6,11.67 m³,6.053,10.339,193165.21,0.0346,0.23048,CRMR.22.png
23,CRMR,22.6,11.67 m³,7.105,10.222,194354.78,0.0349,0.23218000000000005,CRMR.23.png
24,CRMR,22.6,11.67 m³,8.158,9.907,193456.21,0.035,0.23215,CRMR.24.png
25,CRMR,22.6,11.67 m³,9.211,9.59,192645.71,0.0351,0.23028,CRMR.25.png
26,CRMR,22.6,11.67 m³,10.263,9.269,192009.47,0.0352,0.2306,CRMR.26.png
27,CRMR,22.6,11.67 m³,11.316,8.945,190998.26,0.0353,0.23048,CRMR.27.png
28,CRMR,22.6,11.67 m³,12.368,8.617,190071.17,0.0353,0.22852,CRMR.28.png
21,CRMR,22.6,11.67 m³,5.0,10.339,190248.91,0.0342,0.22699,CRMR.21.png
29,CRMR,22.6,11.67 m³,13.421,8.286,189313.94,0.0354,0.22876,CRMR.29.png
31,CRMR,22.6,11.67 m³,15.526,7.6110000000000015,187118.48,0.0355,0.22648,CRMR.31.png
